Company Name,Funding Type,LinkedIn Company URL,Website URL
ROYBI,Seed,https://linkedin.com/company/roybirobot,https://roybirobot.com/
Biz AI Last,Seed,,https://www.bizailast.com/
Hopper Studios,Pre-Seed,https://linkedin.com/company/hopperstudiosllc,https://hopperlabs.tech/
BRB,Pre-Seed,https://www.linkedin.com/company/brb-beautyrightback/,https://www.beautyrightback.com/
LTV.ai,Series A,https://www.linkedin.com/company/ltvai/,https://ltv.ai/
Cybever,Series A,https://www.linkedin.com/company/cybever,https://cybever.ai/
Preppr.ai,Angel,https://www.linkedin.com/company/prepprai/,https://www.preppr.ai/
Pally,Pre-Seed,https://www.linkedin.com/company/pallyai,https://www.pally.com/
Colega AI,Seed,https://www.linkedin.com/company/colega-ai/,https://www.colega.ai/
Stride Conductor,Pre-Seed,https://www.linkedin.com/company/conductorcode/,https://www.strideconductor.com/
NeverGiveUp,Venture,,https://nevergiveup.ai/
Apptronik,Series A,https://www.linkedin.com/company/apptronik-inc./,https://apptronik.com/
Krista Software,Series A,https://www.linkedin.com/company/krista-ai,https://krista.ai/
Patho Care,Venture,,
Sytrex,Pre-Seed,https://www.linkedin.com/company/sytrex/,https://www.sytrex.io/
Pangea,Venture,https://www.linkedin.com/company/pangeaio/,https://www.pangea.io/
HomeBase,Pre-Seed,https://www.linkedin.com/company/urhomebase/,http://www.yourhomebase.co/
SpeechSense.ai,Pre-Seed,https://www.linkedin.com/company/speechsense,https://speechsense.ai/
Khenda,Seed,https://www.linkedin.com/company/khenda/,https://www.khenda.com/
sliQue Robotics,Angel,https://www.linkedin.com/company/slique-robotics/,https://databarn.com/
Syntiant,PE,https://www.linkedin.com/company/syntiant-corp,https://www.syntiant.com/
OraClaim,Pre-Seed,https://www.linkedin.com/company/oraclaim/,https://www.oraclaim.com/
Amantya Technologies,Grant,https://www.linkedin.com/company/amantyatech,https://amantyatech.com/
Orin,Pre-Seed,https://www.linkedin.com/company/useorin/,https://useorin.com/
"HuLoop Automation, Inc.",Series A,https://www.linkedin.com/company/huloop-automation/,https://huloop.ai/
SignalRank Corporation,Series A,https://www.linkedin.com/company/signalrank,https://signalrank.co/
Anysphere,Series B,https://www.linkedin.com/company/anysphereinc,https://anysphere.co/
Sunairio,Venture,https://www.linkedin.com/company/sunairio/,https://www.sunairio.com/
Atmo,recent funding,https://www.linkedin.com/company/atmo-ai,https://atmo.ai/
Brooklyn Investment Group,Venture,https://www.linkedin.com/company/bklninvest,https://bkln.com/
Mito Robotics,Seed,https://www.linkedin.com/company/mitoai/,
Omega Healthcare,PE,https://www.linkedin.com/company/omega-healthcare-management-services-private-limited,http://www.omegahms.com/
Decart,Series A,https://www.linkedin.com/company/decart-ai,https://www.decart.ai/
Imagry,Grant,https://www.linkedin.com/company/imagry/,https://imagry.co/
Confido Health,Seed,https://www.linkedin.com/company/confido-health,https://www.confido.health/
Crop Diagnostix,Seed,https://www.linkedin.com/company/crop-diagnostix/about/,https://www.cropdiagnostix.com/
UNLISTED,Seed,https://www.linkedin.com/company/unlistedinc,https://unlistedhomes.com/
OptiCore,Seed,https://www.linkedin.com/company/opticore-inc/,https://www.opticore.ai/
Skynet,Pre-Seed,,https://www.skynet.io/
Acerca,Seed,https://www.linkedin.com/company/acercaai/,https://www.acerca.ai/
Perplexity,Series D,https://www.linkedin.com/company/perplexity-ai,https://www.perplexity.ai/
SandboxAQ,Venture,https://www.linkedin.com/company/sandboxaq,https://www.sandboxaq.com/
Generate Biomedicines,Venture,https://www.linkedin.com/company/generate-biomedicines-inc,https://generatebiomedicines.com/
Hamming AI,Seed,https://www.linkedin.com/company/hamming-ai,https://hamming.ai/
Fraction AI,Pre-Seed,https://www.linkedin.com/company/fraction-ai,https://fractionai.xyz/
Loman,Pre-Seed,https://www.linkedin.com/company/useloman/,https://www.loman.ai/
Comra,Pre-Seed,,https://www.comra.ai/
Brevity,Seed,https://www.linkedin.com/company/brevitypitch,https://www.brevitypitch.com/
CloneOps.ai,Seed,https://www.linkedin.com/company/cloneopsai,https://www.cloneops.ai/
Landbase,Venture,https://www.linkedin.com/company/landbase/,https://www.landbase.com/
Finexio,Debt financing,https://www.linkedin.com/company/10697239,http://finexio.com/
T-robotics,Seed,https://www.linkedin.com/company/102275781,https://t-robotics.ai/
Mili,Seed,https://www.linkedin.com/company/getmili/,https://getmili.ai/
Salt AI,Seed,https://www.linkedin.com/company/getsalt-ai,https://getsalt.ai/
Stack AI,recent funding,https://www.linkedin.com/company/stackai,https://stack-ai.com/
Mantis Robotics,Venture,https://www.linkedin.com/company/mantis-robotics,https://www.mantis-robotics.com/
Coverstar,Seed,,https://coverstar.app/
GAiF Ai,Series A,https://www.linkedin.com/company/gaif/,https://www.gaif.ai/
Gala GLP-1,Pre-Seed,,https://apps.apple.com/us/app/gala-weight-glp-1-tracker/id6504834561
Piramidal,Seed,https://www.linkedin.com/company/piramidalai,https://piramidal.ai/
Sushidata,Pre-Seed,https://www.linkedin.com/company/sushidata/,https://sushidata.com/
Naoma,Pre-Seed,https://www.linkedin.com/company/102241124,https://www.naoma.ai/
EcoPulse,Pre-Seed,https://www.linkedin.com/company/ecopulsenow/,https://ecopulsenow.com/
Zest AI,Series G,https://www.linkedin.com/company/zest-ai,http://zest.ai/
Liquid AI,Series A,https://www.linkedin.com/company/liquid-ai-inc,http://liquid.ai/
Ambytech,Seed,https://www.linkedin.com/company/ambyproai/,https://www.ambytechnologies.ai/
Twelve Labs,Series A,https://www.linkedin.com/company/twelvelabs/,http://twelvelabs.io/
Cartesia,Series A,https://www.linkedin.com/company/cartesia-ai,https://www.cartesia.ai/
Legion Technologies,recent funding,https://www.linkedin.com/company/legionco,https://legion.co/
Fiddler AI,Series B,https://www.linkedin.com/company/fiddler-ai,https://www.fiddler.ai/
32Health,recent funding,https://www.linkedin.com/company/32health/,https://www.32health.care/
Truewind,Series A,https://www.linkedin.com/company/truewindai,https://www.truewind.ai/
Vapi,Series A,https://www.linkedin.com/company/vapi-ai,https://vapi.ai/
RapidCanvas,Series A,https://www.linkedin.com/company/rapidcanvas,https://www.rapidcanvas.ai/
EzDubs,Seed,,https://www.ezdubs.ai/
FINNY,Seed,https://www.linkedin.com/company/finnyai/,https://finnyai.com/
Reveal Technology,Series A,https://www.linkedin.com/company/reveal-technology/,https://www.revealtech.ai/
Musubi,Seed,https://www.linkedin.com/company/musubi/,https://www.musubilabs.ai/
Aimon Labs,Pre-Seed,https://www.linkedin.com/company/aimon-ai/,https://aimon.ai/
Azimuth AI,Venture,https://www.linkedin.com/company/azimuthai/about/,https://azimuth-ai.com/
Plainr,Pre-Seed,https://www.linkedin.com/company/plainr,https://www.plainr.io/
Ovul AI,Seed,https://www.linkedin.com/company/ovulio,https://ovul.ai/
Koantek,Venture,https://www.linkedin.com/company/koantek,https://koantek.com/
Speak,Series C,https://www.linkedin.com/company/usespeak,https://www.speak.com/
Hyperbolic,Series A,https://www.linkedin.com/company/hyperbolic-labs/,https://www.hyperbolic.xyz/
WindBorne Systems,Venture,https://www.linkedin.com/company/windborne,https://windbornesystems.com/
Cohesity,Series H,https://www.linkedin.com/company/cohesity/,https://www.cohesity.com/
Gentrace,Series A,https://www.linkedin.com/company/gentrace,https://gentrace.ai/
Senteon,Seed,https://www.linkedin.com/company/senteoncybersecurity,https://www.senteon.co/
Gyaan,Seed,https://www.linkedin.com/company/gyaanai,https://www.gyaan.ai/
Lincode,Seed,https://linkedin.com/company/lincodelabs,http://www.lincode.ai/
Hyro,Series B,https://www.linkedin.com/company/hyroai,https://www.hyro.ai/
SocialCap AI,Seed,https://www.linkedin.com/company/socialcap-ai,
SuperMe,Seed,https://www.linkedin.com/company/super-me/,https://superme.ai/
InfraSight Software,Debt financing,https://www.linkedin.com/company/infrasight-software,https://infrasightsoftware.com/
Nyad,Grant,https://www.linkedin.com/company/nyad-ai,https://www.nyad.ai/
Restored Cloud,Pre-Seed,https://www.linkedin.com/company/restored-cloud/,https://www.restoredcloud.com/
